Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Finland,2021-10-26 01:22:13,61.9241,25.7482,154888,1150,,,2795.449975977843,,,0.7424719797531121,246,FIN,13751,70
France,2021-10-26 01:22:13,46.2276,2.2137,7228331,118452,,,11073.911573809602,,,1.6387185368240609,250,FRA,141367,1223
Gabon,2021-10-26 01:22:13,-0.8037,11.6094,34898,230,,,1567.9364234982888,,,0.6590635566508111,266,GAB,5475,46
Gambia,2021-10-26 01:22:13,13.4432,-15.3101,9956,339,,,411.9728683838548,,,3.40498192044998,270,GMB,26,4
Georgia,2021-10-26 01:22:13,42.3154,43.3569,694182,9788,,,17401.643196901616,,,1.4100048690401077,268,GEO,85748,925
Germany,2021-10-26 01:22:13,51.165691,10.451526,4485437,95148,,,5353.575795458187,,,2.121264884558628,276,DEU,271778,1712
Ghana,2021-10-26 01:22:13,7.9465,-1.0232,129948,1172,,,418.20303804483285,,,0.9018992212269524,288,GHA,3184,24
Greece,2021-10-26 01:22:13,39.0742,21.8243,720295,15682,,,6910.593207980462,,,2.1771635232786566,300,GRC,70389,949
Grenada,2021-10-26 01:22:13,12.1165,-61.679,5817,196,,,5169.7935459789005,,,3.3694344163658245,308,GRD,895,76
Guatemala,2021-10-26 01:22:13,15.7835,-90.2308,595067,14748,,,3321.5080493963715,,,2.4783763845079627,320,GTM,45448,1325
Guinea,2021-10-26 01:22:13,9.9456,-9.6966,30642,385,,,233.32433803870492,,,1.256445401736179,324,GIN,264,8
Guinea-Bissau,2021-10-26 01:22:13,11.8037,-15.1804,6131,141,,,311.53486944600553,,,2.2997879628119398,624,GNB,32,6
Guyana,2021-10-26 01:22:13,4.860416000000002,-58.93018000000001,35104,897,,,4462.983704973181,,,2.5552643573381952,328,GUY,3919,133
Haiti,2021-10-26 01:22:13,18.9712,-72.2852,23619,662,,,207.13818587501567,,,2.8028282315085318,332,HTI,1920,51
